Disease_Name,Disease_Url,Disease_Logo_Image_url,Disease_Logo_File_Name
Cutaneous lupus erythematosus images,https://dermnetnz.org/topics/cutaneous-lupus-erythematosus-images/?stage=Live,https://dermnetnz.org/assets/Uploads/lupus-facial-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,cad42531fd2cd45022a3feb1137887c2.jpg
Cutaneous tuberculosis images,https://dermnetnz.org/topics/cutaneous-tuberculosis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/papulonecrotic-tb1-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,05107cef027798c00afa304850b30563.jpg
Cysts affecting the vulval area images,https://dermnetnz.org/?stage=Live,https://dermnetnz.org/assets/Uploads/2617-1__FocusFillWzE1MCwxMTAsInkiLDE2XQ.jpg,76a75d9e131979af0d2d5a2b150a00b8.jpg
Deep dermal disorder images,https://dermnetnz.org/image-catalogue/deep-dermal-disorder-images/?stage=Live,https://dermnetnz.org/assets/Uploads/lymphoma1-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,23c30cf0c66b7fa73d426fe65d2eccb4.jpg
Dermatitis images,https://dermnetnz.org/images/atopic-dermatitis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/atopic26-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,250c109fc199ffd17eeb7c30c32cd458.jpg
Dermatofibroma images,https://dermnetnz.org/topics/dermatofibroma-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2400__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,2c98f7ed44863f2298f3733087f79c18.jpg
Dermatomyositis images,https://dermnetnz.org/topics/dermatomyositis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/dermatomyositis-eyelids-4__FocusFillWzE1MCwxMTAsIngiLDhd.jpg,fb63288f5939f725e7d7a7e9182e221f.jpg
Dermographism images,https://dermnetnz.org/topics/dermographism-images/?stage=Live,https://dermnetnz.org/assets/Uploads/dermographism04-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,b097e9dbd217b6a7c4c7c8ae4c8ca518.jpg
Dermoscopy course images,https://dermnetnz.org/image-catalogue/dermoscopy-course-images/?stage=Live,https://dermnetnz.org/assets/Uploads/solar-lentigo9-s__FocusFillWzE1MCwxMTAsIngiLDVd.jpg,c08d81263e9a64a02e4de25987e1d2bc.jpg
Digital myxoid cyst images,https://dermnetnz.org/topics/digital-myxoid-cyst-images/?stage=Live,https://dermnetnz.org/assets/Uploads/myxoid3-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,abf32c10602f4ac36faa4c0c7bf73d26.jpg
Discoid eczema images,https://dermnetnz.org/images/discoid-eczema-images/?stage=Live,https://dermnetnz.org/assets/Uploads/nummular-eczema39-s__FocusFillWzE1MCwxMTAsInkiLDBd.jpg,d3fb2f90ac1329cf35c21b7331eec986.jpg
Disease relating to site or age images,https://dermnetnz.org/image-catalogue/disease-relating-to-site-or-age-images/?stage=Live,https://dermnetnz.org/assets/Uploads/eosinophilic-ulcer-s3__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,49957b480383807a85f2fadb8373c47f.jpg
Dry skin images,https://dermnetnz.org/topics/dry-skin-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2646__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,0af3c40a6e40ef7fff8800cd3f60a2ac.jpg
Dysplastic naevi images,https://dermnetnz.org/topics/atypical-naevus-images/?stage=Live,https://dermnetnz.org/assets/Uploads/604__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,d162865debe576a2d9c27858d9a8bf84.jpg
Eccrine poroma images,https://dermnetnz.org/topics/eccrine-poroma-images/?stage=Live,https://dermnetnz.org/assets/Uploads/lesions/w/eccrine-poroma2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,cc24bd349a6161949b91f66f5f6962b1.jpg
Ecthyma images,https://dermnetnz.org/topics/ecthyma-images/?stage=Live,https://dermnetnz.org/assets/Uploads/ecthyma-3-s__FocusFillWzE1MCwxMTAsInkiLDBd.jpg,e7b424bff770dbecd690a39335b2c2a9.jpg
Eczema herpeticum images,https://dermnetnz.org/topics/eczema-herpeticum-images/?stage=Live,https://dermnetnz.org/assets/Uploads/eczema-herpticum02-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,9f7a69c8399890e6c4a5ea4ff00bcaa7.jpg
Ehlers–Danlos syndrome images,https://dermnetnz.org/topics/ehlers-danlos-syndrome-images/?stage=Live,https://dermnetnz.org/assets/Uploads/EDS-hypermobility-02__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,426f5e73d061ba15b72a305a8bdbe858.jpg
Enteroviral infection images,https://dermnetnz.org/images/hand-foot-and-mouth-disease-images/?stage=Live,https://dermnetnz.org/assets/Uploads/hfm3-s2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,0d55004305dede6b5ff124529424c0f3.jpg
Epidermal and pilar cyst images,https://dermnetnz.org/topics/epidermoid-and-trichilemmal-cyst-images/?stage=Live,https://dermnetnz.org/assets/Uploads/cyst16-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,2893c52081d0a68462089ee45ec60846.jpg
Epiloia images,https://dermnetnz.org/topics/tuberous-sclerosis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/angiofibromas-19-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,658865acea03eddaa7f147f822480087.jpg
Epiloia images,https://dermnetnz.org/topics/tuberous-sclerosis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/tuberous-sclerosis05-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,29725c4f2cc6263138e1946315875724.jpg
Erythema infectiosum images,https://dermnetnz.org/topics/erythema-infectiosum-fifth-disease-images/?stage=Live,https://dermnetnz.org/assets/Uploads/fifth05-s__FocusFillWzE1MCwxMTAsInkiLDBd.jpg,583eb943cb448d2049a40be966f92f3f.jpg
Erythema migrans images,https://dermnetnz.org/topics/erythema-migrans-images/?stage=Live,https://dermnetnz.org/assets/Uploads/ecm-16__FocusFillWzE1MCwxMTAsInkiLDFd.JPG,98790cdd026d0ccb070674efbce4dea4.JPG
Erythema multiforme images,https://dermnetnz.org/topics/erythema-multiforme-images/?stage=Live,https://dermnetnz.org/assets/Uploads/emultifor3-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,4268fae22011fdae85718d10359e0d88.jpg
Erythema nodosum images,https://dermnetnz.org/topics/erythema-nodosum-images/?stage=Live,https://dermnetnz.org/assets/Uploads/en10-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,d73c94c3050241b1b31d0d84b3fdb33f.jpg
